frame,time_ps,rmsd_A,proj1,proj2,macrostate
0,0.0,0.0,-0.07077140333295823,0.7280443306224713,2
1,5.0,0.9183246493339539,0.0526686329649153,0.4227024562909919,2
2,10.0,0.7334133386611938,-0.1446876702341532,0.7445629452392541,2
3,15.0,0.5392498970031738,-0.14008510281972314,0.7298988326838288,2
4,20.0,0.6731200814247131,0.17084903750751176,0.6862807984095896,2
5,25.0,0.9661240577697754,-0.3526533348528692,0.7778441432622656,2
6,30.0,1.013731837272644,-0.2256315992552479,0.714501392591584,2
7,35.0,1.060662031173706,-0.3958353949871701,0.7780834413408768,2
8,40.0,0.9357297420501709,0.35536157634224314,0.6842543917408846,2
9,45.0,1.1079872846603394,-0.3799310520095817,0.7887583070695796,2
10,50.0,0.8727174401283264,0.6989812189344293,0.4452173689875151,2
11,55.0,1.5480539798736572,-0.0682586057890322,-0.3982401222935506,3
12,60.0,1.4931260347366333,-0.29787942186640176,-0.3731335928674062,3
13,65.0,1.7582368850708008,-0.37138746522533284,-0.38089340427951335,3
14,70.0,1.4267492294311523,0.18494733585612239,-0.4595569587904146,3
15,75.0,1.3132314682006836,-0.45558598662708194,-0.3522539644349934,3
16,80.0,1.525497555732727,-0.16446057251187352,-0.411339480660673,3
17,85.0,1.407509446144104,-0.4669809564588533,-0.3498599668406176,3
18,90.0,1.4862476587295532,-0.05148642777619741,-0.1843165873282077,3
19,95.0,1.5548522472381592,-0.3378256642699851,-0.35966504033044294,3
20,100.0,1.2634305953979492,-0.1956524468823283,-0.21379550816023324,3
21,105.0,1.7190334796905518,-0.21417876991839654,-0.3802669511341047,3
22,110.0,1.580780267715454,-0.2745814833962203,-0.37466915193311984,3
23,115.0,1.5193933248519897,0.0742738541566858,-0.4134762617934737,3
24,120.0,1.530055284500122,-0.12848878185903542,-0.3910251817931714,3
25,125.0,1.6217598915100098,-0.5866363983667735,-0.34626282641647554,3
26,130.0,1.5674875974655151,-0.5768064602991327,-0.34262015983477623,3
27,135.0,1.250352382659912,-0.49568834860802646,-0.25557442906754957,3
28,140.0,1.6767512559890747,0.3586514367523497,-0.43813182326883604,3
